anio,ocupados,horas_anuales,horas_semanales_por_trabajador
2010,16841454.118384387,40968611862.629265,46.78087265488201
2011,17425037.743311837,42134654832.179276,46.501008240671474
2012,17779864.91049178,42669491265.234535,46.15148336879869
2013,17903653.898644827,42725301482.650894,45.8923311285689
2014,18165886.01489118,43227857317.06051,45.7618718802684
2015,18561374.684711985,43856423422.71427,45.438054694503755
2016,18517931.072948065,43716627056.59888,45.39947595448171
2017,18483492.641852923,43418799683.32686,45.17419587120579
2018,18680052.11086128,43815697145.945206,45.10745235068277
2019,19553725.272379044,45817848021.55495,45.061104709168156
2021,17586888.905666884,41035571119.64759,44.87124486244302
2022,20636803.257104397,48214088147.6987,44.92914872952356
2023,21554986.106223766,50067187474.49122,44.66857568874023
2024,21644595.75944147,49700673133.176254,44.15800536358312
2025,22955397.578819677,52194513061.14381,43.72569163068434
