indicador,unidad,valor_2010,valor_2025,crecimiento_anualizado,codigo,actividad
PIB real,Billones de pesos de 2015,39.943,63.89479103692442,0.031814559170768586,A,Agropecuario
Ocupados,Millones de personas,2.9563862670199876,3.1279581670110264,0.0037679330202080585,A,Agropecuario
PIB por trabajador,Millones de pesos de 2015 por ocupado,13.510751435150661,20.4269966621645,0.02794134503397805,A,Agropecuario
Horas semanales por trabajador,Horas por semana,44.970425784523464,41.9631070638652,-0.004603653213696712,A,Agropecuario
PIB por hora trabajada,Miles de pesos de 2015 por hora,5.7776224807967935,9.361243396250927,0.03269551706990703,A,Agropecuario
PIB real,Billones de pesos de 2015,38.427,34.717519913310866,-0.006744875944656892,B,Minas
Ocupados,Millones de personas,0.19136927809326013,0.299823920173771,0.030385180856968175,B,Minas
PIB por trabajador,Millones de pesos de 2015 por ocupado,200.80025583455117,115.79302909917726,-0.03603512306994183,B,Minas
Horas semanales por trabajador,Horas por semana,49.74448249971961,45.96930817391204,-0.005247887653233252,B,Minas
PIB por hora trabajada,Miles de pesos de 2015 por hora,77.62757169009532,48.44077732720253,-0.030949655732901094,B,Minas
PIB real,Billones de pesos de 2015,23.932,33.45819576995425,0.022590063213846934,C01,"Alimentos, bebidas y tabaco"
Ocupados,Millones de personas,0.5978903662379812,0.6586972624801123,0.006478001179062387,C01,"Alimentos, bebidas y tabaco"
PIB por trabajador,Millones de pesos de 2015 por ocupado,40.02740527596029,50.79449646409368,0.01600835986073168,C01,"Alimentos, bebidas y tabaco"
Horas semanales por trabajador,Horas por semana,45.42224781346889,44.75032332118254,-0.0009930635997928983,C01,"Alimentos, bebidas y tabaco"
PIB por hora trabajada,Miles de pesos de 2015 por hora,16.946712917633583,21.82816049580883,0.017018323738358765,C01,"Alimentos, bebidas y tabaco"
PIB real,Billones de pesos de 2015,9.642,11.916225372851645,0.014218291361486557,C02,"Textiles, confecciones y cuero"
Ocupados,Millones de personas,0.6150423450456902,0.6809200403536807,0.006806644959345798,C02,"Textiles, confecciones y cuero"
PIB por trabajador,Millones de pesos de 2015 por ocupado,15.676969362627734,17.500183085611884,0.007361539019679508,C02,"Textiles, confecciones y cuero"
Horas semanales por trabajador,Horas por semana,46.065842033300264,43.08189402458657,-0.00445464218543512,C02,"Textiles, confecciones y cuero"
PIB por hora trabajada,Miles de pesos de 2015 por hora,6.544549426288531,7.811680290182942,0.011869053591946344,C02,"Textiles, confecciones y cuero"
PIB real,Billones de pesos de 2015,5.406,6.4334044730749405,0.01166716438439619,C03,"Madera, papel e impresión"
Ocupados,Millones de personas,0.1434257515516847,0.1372301954568444,-0.00293951885751087,C03,"Madera, papel e impresión"
PIB por trabajador,Millones de pesos de 2015 por ocupado,37.69197610271473,46.88038555696797,0.014649746447848333,C03,"Madera, papel e impresión"
Horas semanales por trabajador,Horas por semana,46.09142908828001,41.30511287217136,-0.007282732909696388,C03,"Madera, papel e impresión"
PIB por hora trabajada,Miles de pesos de 2015 por hora,15.726257758132462,21.826495884071047,0.022093379539805724,C03,"Madera, papel e impresión"
PIB real,Billones de pesos de 2015,30.822000000000003,39.62718999617694,0.016893561062127915,C04,"Refinación, químicos y minerales"
Ocupados,Millones de personas,0.2583840879827256,0.37181388673071347,0.024559825931260937,C04,"Refinación, químicos y minerales"
PIB por trabajador,Millones de pesos de 2015 por ocupado,119.28753136710426,106.57802575533432,-0.007482496068167643,C04,"Refinación, químicos y minerales"
Horas semanales por trabajador,Horas por semana,48.96705416550388,45.769451023250205,-0.004491937445356919,C04,"Refinación, químicos y minerales"
PIB por hora trabajada,Miles de pesos de 2015 por hora,46.847641274793894,44.78046759465519,-0.0030040526393492195,C04,"Refinación, químicos y minerales"
PIB real,Billones de pesos de 2015,13.136,15.482182079860861,0.011015782923302186,C05,"Metalurgia, maquinaria y equipo"
Ocupados,Millones de personas,0.34619827163893685,0.31748116890551353,-0.005756245255520209,C05,"Metalurgia, maquinaria y equipo"
PIB por trabajador,Millones de pesos de 2015 por ocupado,37.94357475504681,48.765670522236725,0.01686913103430343,C05,"Metalurgia, maquinaria y equipo"
Horas semanales por trabajador,Horas por semana,49.015859811440166,45.748687394733466,-0.00458816306498655,C05,"Metalurgia, maquinaria y equipo"
PIB por hora trabajada,Miles de pesos de 2015 por hora,14.886694484433791,20.498978431997998,0.02155619744824344,C05,"Metalurgia, maquinaria y equipo"
PIB real,Billones de pesos de 2015,4.986999999999999,6.039120710309391,0.012843369760881629,C06,Muebles y otras manufactureras
Ocupados,Millones de personas,0.23283383491324383,0.34716483606371557,0.026989435002138684,C06,Muebles y otras manufactureras
PIB por trabajador,Millones de pesos de 2015 por ocupado,21.418708332739545,17.395542644189412,-0.013774304544065363,C06,Muebles y otras manufactureras
Horas semanales por trabajador,Horas por semana,45.870633844331714,44.148899124476415,-0.0025472259632081107,C06,Muebles y otras manufactureras
PIB por hora trabajada,Miles de pesos de 2015 por hora,8.979562797538428,7.577304822283702,-0.011255749518265468,C06,Muebles y otras manufactureras
PIB real,Billones de pesos de 2015,14.887999999999998,21.878697007613656,0.02599601252424044,D,"Electricidad, gas y vapor"
Ocupados,Millones de personas,0.055666190007535046,0.08343828043470441,0.02734960078241344,D,"Electricidad, gas y vapor"
PIB por trabajador,Millones de pesos de 2015 por ocupado,267.4513919128422,262.2141407232749,-0.001317553690722173,D,"Electricidad, gas y vapor"
Horas semanales por trabajador,Horas por semana,48.97939093652175,46.0230718839825,-0.004141850981052353,D,"Electricidad, gas y vapor"
PIB por hora trabajada,Miles de pesos de 2015 por hora,105.00939068412879,109.56634189924046,0.0028360437609638023,D,"Electricidad, gas y vapor"
PIB real,Billones de pesos de 2015,7.03,8.391880274814245,0.01187514954418667,E,"Agua, saneamiento y desechos"
Ocupados,Millones de personas,0.06860091239612467,0.2211988413751089,0.08117716281383736,E,"Agua, saneamiento y desechos"
PIB por trabajador,Millones de pesos de 2015 por ocupado,102.4767711456434,37.93817464253032,-0.06409866546689491,E,"Agua, saneamiento y desechos"
Horas semanales por trabajador,Horas por semana,48.11503005056966,43.2635240397285,-0.007060604267194459,E,"Agua, saneamiento y desechos"
PIB por hora trabajada,Miles de pesos de 2015 por hora,40.958243928040254,16.863635077834964,-0.05744364806636093,E,"Agua, saneamiento y desechos"
PIB real,Billones de pesos de 2015,22.035,20.466390757447634,-0.004911103090774915,F01,Edificaciones
Ocupados,Millones de personas,0.6470555075236512,1.0280010358434257,0.03134381300026634,F01,Edificaciones
PIB por trabajador,Millones de pesos de 2015 por ocupado,34.05426542821688,19.90892036471144,-0.03515308438761333,F01,Edificaciones
Horas semanales por trabajador,Horas por semana,49.29013196564641,46.0669413698525,-0.0044984058755476175,F01,Edificaciones
PIB por hora trabajada,Miles de pesos de 2015 por hora,13.28642658595108,8.31103263604309,-0.03079319881855791,F01,Edificaciones
PIB real,Billones de pesos de 2015,9.751,11.939425353011725,0.01358992383173474,F02,Obras civiles
Ocupados,Millones de personas,0.1171378138441624,0.21244230855047225,0.040486045034572316,F02,Obras civiles
