concepto,anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015
Producto Interno Bruto,2010,640151.0,16841454.118384387,787857920.4351782,40968611862.629265,640151000000000.0,38.010435173837,15625.401274187001
Producto Interno Bruto,2011,684627.9999999999,17425037.743311837,810281823.6957552,42134654832.179276,684627999999999.9,39.28990054915532,16248.572647072751
Producto Interno Bruto,2012,711415.0,17779864.91049178,820567139.7160487,42669491265.234535,711415000000000.0,40.01239624605914,16672.68530524135
Producto Interno Bruto,2013,747939.0,17903653.898644827,821640413.1279018,42725301482.650894,747939000000000.0,41.775774053396624,17505.76295649334
Producto Interno Bruto,2014,781589.0,18165886.01489118,831304948.4050097,43227857317.06051,781589000000000.0,43.025096566129804,18080.67872222606
Producto Interno Bruto,2015,804692.0,18561374.684711985,843392758.1291206,43856423422.71427,804692000000000.0,43.3530389676785,18348.327045365746
Producto Interno Bruto,2016,821489.0,18517931.072948065,840704366.4730554,43716627056.59888,821489000000000.0,44.36181324813726,18791.22556587995
Producto Interno Bruto,2017,832656.0,18483492.641852923,834976916.987055,43418799683.32686,832656000000000.0,45.04862885678777,19177.315035720487
Producto Interno Bruto,2018,854007.9999999999,18680052.11086128,842609560.4989462,43815697145.945206,854007999999999.9,45.7176454825545,19490.914344130924
Producto Interno Bruto,2019,881224.0,19553725.272379044,881112461.9529798,45817848021.55495,881224000000000.0,45.06680889317742,19233.203610641627
Producto Interno Bruto,2021,906243.0,17586888.905666884,789145598.4547614,41035571119.64759,906243000000000.0,51.52946634626142,22084.327700902795
Producto Interno Bruto,2022,972655.0,20636803.257104397,927194002.8403596,48214088147.6987,972655000000000.0,47.13205760999612,20173.66785036721
Producto Interno Bruto,2023,980843.0,21554986.106223766,962830528.3556004,50067187474.49122,980843000000000.0,45.50422789262631,19590.53522828161
Producto Interno Bruto,2024,995490.0,21644595.75944147,955782175.6380049,49700673133.176254,995490000000000.0,45.992542945310625,20029.708598362813
Producto Interno Bruto,2025,1021072.9235872524,22955397.578819677,1003740635.791227,52194513061.14381,1021072923587252.4,44.480733565223396,19562.84030068651
